location,datetime,tempmax,dew,humidity,solarradiation
homagama,2017-04-21,32.6,24.2,70.5,257
homagama,2017-04-22,32.4,24.4,72.8,231.8
homagama,2017-04-23,32.2,25.1,73.1,227.4
homagama,2017-04-24,33.1,26.1,77.2,222.1
homagama,2017-04-25,32.6,26,78.4,236.3
homagama,2017-04-26,33.1,24.6,71.7,233.9
homagama,2017-04-27,32.4,24.5,73.2,233.8
homagama,2017-04-28,33.1,25.1,75.7,249.4
homagama,2017-04-29,32.7,25,75.7,250.3
homagama,2017-04-30,32.8,24.5,74.1,266.4
homagama,2017-05-01,32.6,23.8,71.8,249.7
homagama,2017-05-02,32.2,23.6,72.6,266
homagama,2017-05-03,32.5,23.5,71.9,242.3
homagama,2017-05-04,32.1,23.8,72.7,266
homagama,2017-05-05,33.1,24.3,75.4,246.2
homagama,2017-05-06,32.1,24.6,81.5,212
homagama,2017-05-07,32.4,23.9,80.2,242.5
homagama,2017-05-08,32.6,23.8,78.8,251.4
homagama,2017-05-09,32.9,24.5,75.9,213.5
homagama,2017-05-10,32.5,25,79.1,237.6
homagama,2017-05-11,32.6,24.8,81.1,204.4
homagama,2017-05-12,32.3,24.9,78.7,231.5
homagama,2017-05-13,32.5,24.9,76.2,236.9
homagama,2017-05-14,32.1,25.4,78.8,218.3
homagama,2017-05-15,32.1,25.3,75.9,219.1
homagama,2017-05-16,32.8,25.4,75,189.1
homagama,2017-05-17,32.6,25.5,74.2,207
homagama,2017-05-18,31.4,25.3,80.4,92.5
homagama,2017-05-19,30.8,25.3,83.6,183.8
homagama,2017-05-20,31.6,25.2,80.1,161.2
homagama,2017-05-21,31.4,25,78.9,158.6
homagama,2017-05-22,31.3,25.3,79.7,90.1
homagama,2017-05-23,31.1,24.9,76.1,142.7
homagama,2017-05-24,31.5,25.1,81.3,189.8
homagama,2017-05-25,30.1,24.5,86.4,125.3
homagama,2017-05-26,30.5,25.1,83.7,114.9
homagama,2017-05-27,30.9,25.3,79.4,167.1
homagama,2017-05-28,31.4,25.2,81.1,174.7
homagama,2017-05-29,30.5,24.8,78.7,192.5
homagama,2017-05-30,29.7,24.3,80.3,136.1
homagama,2017-05-31,30.2,24.2,77.7,102.7
homagama,2017-06-01,30.4,24.5,79,146
homagama,2017-06-02,30.1,24.3,78.3,103.3
homagama,2017-06-03,30.1,24.4,82.4,166.4
homagama,2017-06-04,30.7,24.5,77.8,224.2
homagama,2017-06-05,30,24.9,81.4,167.7
homagama,2017-06-06,30.9,24.9,79.9,211
homagama,2017-06-07,29.9,24.4,79.8,128.2
